X,Buy/Neutral/Sell,tweets,replies,retweets,favs,user,timeStamp,new_tweets,new_dts,assigned_member,coinMentioned,termsMentioned
1111,0,"Hypothetical: What if a true hyper buying panic hits <a href=""/hashtag/Bitcoin?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Bitcoin</b></a> and pulls market-crashing amounts of cash from global stocks and bonds. Could the runaway financial black hole be stopped? How?<a href=""https://t.co/PYmBy5PPwu"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/PYmBy5PPwu</a>",59,122,314,CryptoYoda1338,2017-11-26 09:44:00,hypothetical what if a true hyper buying panic hits and pulls marketcrashing amounts of cash from global stocks and bonds could the runaway financial black hole be stopped how,1511660640,claire,TRUE,TRUE
1119,0,"Proud to announce that the Gates of CryptoWisdom have opened!
Check it out:

<a href=""https://t.co/OPmiOxMxkz"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://cryptowisdom.io/"" class=""twitter-timeline-link"" target=""_blank"" title=""https://cryptowisdom.io/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">cryptowisdom.io</span><span class=""invisible"">/</span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>

Limited Seats available, temporarily opened. Let's start planting seeds. <a href=""/hashtag/GoldenAge?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>GoldenAge</b></a> is coming :pray:",25,25,125,CryptoYoda1338,2017-11-22 12:16:00,proud to announce that the gates of cryptowisdom have openedcheck it outlimited seats available temporarily opened let's start planting seeds is coming pray,1511324160,claire,FALSE,TRUE
1121,0,"<a href=""/search?q=%24LTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>LTC</b></a> &amp; <a href=""/search?q=%24STR&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>STR</b></a><a href=""https://t.co/Di6Zqr5F1f"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Di6Zqr5F1f</a>",8,25,85,CryptoYoda1338,2017-11-23 04:40:00,amp,1511383200,claire,TRUE,FALSE
1125,0,"<a href=""/search?q=%24XMR&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>XMR</b></a>/USD just confirmed ATH breakout on Bitfinex!",7,15,77,CryptoYoda1338,2017-11-22 12:32:00,usd just confirmed ath breakout on bitfinex,1511325120,claire,FALSE,TRUE
1127,0,"whoever bought these 260,000 BTC at $0.01 during Mt.Gox Crash, Legend!<a href=""https://t.co/AdKcF1hiVY"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/AdKcF1hiVY</a>",90,533,1500,CryptoYoda1338,2017-11-22 09:46:00,whoever bought these btc at during mtgox crash legend,1511315160,claire,TRUE,FALSE
1128,0,Self-control is strength. Calmness is mastery. You have to get to a point where your mood doesn’t shift based on the insignificant actions of someone else. Don't allow others to control the direction of your life. Don't allow your emotions to overpower your intelligence.,85,21000,30000,CryptoYoda1338,2017-11-14 09:52:00,selfcontrol is strength calmness is mastery you have to get to a point where your mood doesn’t shift based on the insignificant actions of someone else don't allow others to control the direction of your life don't allow your emotions to overpower your intelligence,1510624320,claire,FALSE,TRUE
1129,0,"New Market Report Published: <a href=""/hashtag/GoldenAge?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>GoldenAge</b></a> is closer than we might think!

---&gt; <a href=""https://t.co/hzXQKpMLuP"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://cryptowisdom.io/cryptowisdom-market-report-2-november-22nd-2017/"" class=""twitter-timeline-link"" target=""_blank"" title=""http://cryptowisdom.io/cryptowisdom-market-report-2-november-22nd-2017/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cryptowisdom.io/cryptowisdom-m</span><span class=""invisible"">arket-report-2-november-22nd-2017/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>

<a href=""/hashtag/Crypto?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Crypto</b></a> <a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> <a href=""/search?q=%24XMR&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>XMR</b></a> <a href=""/search?q=%24STR&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>STR</b></a> <a href=""/search?q=%24XLM&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>XLM</b></a> <a href=""/search?q=%24SC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>SC</b></a> <a href=""/search?q=%24DOGE&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>DOGE</b></a> <a href=""/search?q=%24SILVER&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>SILVER</b></a> <a href=""/search?q=%24XAG&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>XAG</b></a>",44,112,277,CryptoYoda1338,2017-11-22 07:59:00,new market report published is closer than we might thinkgt,1511308740,claire,FALSE,TRUE
1133,0,"<a href=""/search?q=%24ALTS&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ALTS</b></a> between Depression and Disbelief. Which means that the point of maximum financial opportunity has been reached. Now patiently waiting for the market to pop<a href=""https://t.co/Ri9W6M3HOi"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Ri9W6M3HOi</a>",38,292,626,CryptoYoda1338,2017-11-21 03:47:00,between depression and disbelief which means that the point of maximum financial opportunity has been reached now patiently waiting for the market to pop,1511207220,claire,FALSE,TRUE
1137,0,"doing something ""again"" means doing ""a gain""

sometimes you have to go through a lesson several times to learn its essence. every experience is a win, because learning never stops. if you begin to see mistakes as a way to improve, you become unstoppable, taking one step at a time",15,88,258,CryptoYoda1338,2017-11-20 08:50:00,doing something again means doing a gainsometimes you have to go through a lesson several times to learn its essence every experience is a win because learning never stops if you begin to see mistakes as a way to improve you become unstoppable taking one step at a time,1511139000,claire,TRUE,TRUE
1138,0,"""Two things define you. Your patience when you have nothing and your attitude when you have everything.""",4,127,244,CryptoYoda1338,2017-11-16 16:28:00,two things define you your patience when you have nothing and your attitude when you have everything,1510820880,claire,TRUE,FALSE
1140,0,"Now people are searching for ""buy bitcoin"" more than how to ""buy gold"" <a href=""https://t.co/bM565MiOB4"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://bloom.bg/2B3j0FN"" class=""twitter-timeline-link"" target=""_blank"" title=""https://bloom.bg/2B3j0FN""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bloom.bg/2B3j0FN</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a href=""https://t.co/gHhFdtn4ld"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/gHhFdtn4ld</a>",18,201,247,CryptoYoda1338,2017-11-19 10:04:00,now people are searching for buy bitcoin more than how to buy gold,1511057040,claire,TRUE,TRUE
1143,1,"Is it finally time for <a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> &amp; <a href=""/search?q=%24ALTS&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ALTS</b></a> to rise together? 1Y chart looks like it... <a href=""/hashtag/goldenage?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>goldenage</b></a><a href=""https://t.co/xGvTado8yO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/xGvTado8yO</a>",40,190,496,CryptoYoda1338,2017-11-19 02:18:00,is it finally time for amp to rise together y chart looks like it,1511029080,claire,TRUE,TRUE
1144,0,"great read &amp; thanks for coverage <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f.png"" draggable=""false"" alt=""🙏"" title=""Person with folded hands"" aria-label=""Emoji: Person with folded hands""><a href=""https://t.co/mQfMODYu9Q"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://twitter.com/altcointhoreau/status/931918433641431042"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://twitter.com/altcointhoreau/status/931918433641431042""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/altcointhoreau</span><span class=""invisible"">/status/931918433641431042</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>",4,7,24,CryptoYoda1338,2017-11-18 08:23:00,great read amp thanks for coverage,1510964580,claire,TRUE,TRUE
1145,-1,"<a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> generating Lower Highs, Lower Lows in 2hr chart, dangerous in this altitude / ATH twilight zone<a href=""https://t.co/1BcrlDebw3"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/1BcrlDebw3</a>",22,49,152,CryptoYoda1338,2017-11-18 07:20:00,generating lower highs lower lows in hr chart dangerous in this altitude ath twilight zone,1510960800,claire,TRUE,TRUE
1146,0,"when you watch a random youtube video and suddenly spot yourself on CNBC Africa. weird. 
<a href=""https://t.co/nf6K7WXAFN"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://www.youtube.com/watch?v=eKjnOi9BUiY"" class=""twitter-timeline-link"" target=""_blank"" title=""https://www.youtube.com/watch?v=eKjnOi9BUiY""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">youtube.com/watch?v=eKjnOi</span><span class=""invisible"">9BUiY</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a href=""https://t.co/pamIO5tB3p"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/pamIO5tB3p</a>",35,22,363,CryptoYoda1338,2017-11-18 05:17:00,when you watch a random youtube video and suddenly spot yourself on cnbc africa weird,1510953420,claire,TRUE,FALSE
1147,0,"Litecoin transaction number is increasing fast recently and has reached all time high. All statistics are showing that Litecoin is getting more and more adoption.<a href=""https://t.co/XNDgfY6lHo"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/XNDgfY6lHo</a>",59,578,1400,CryptoYoda1338,2017-11-17 04:08:00,litecoin transaction number is increasing fast recently and has reached all time high all statistics are showing that litecoin is getting more and more adoption,1510862880,claire,TRUE,TRUE
1148,-1,"<a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> at resistance/neckline of previous Head &amp; Shoulders. Volume on this leg not convincing, expecting another leg down, likely retest of $5k area. 
It would need a very strong breakout on significant volume through ATH to convince me otherwise<a href=""https://t.co/aU3oU1mmAm"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/aU3oU1mmAm</a>",60,145,382,CryptoYoda1338,2017-11-15 08:37:00,at resistanceneckline of previous head amp shoulders volume on this leg not convincing expecting another leg down likely retest of k area it would need a very strong breakout on significant volume through ath to convince me otherwise,1510706220,claire,TRUE,TRUE
1149,0,"New All Time High <a href=""/search?q=%24ALTS&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ALTS</b></a> Market Cap<a href=""https://t.co/l9BoeeHdGB"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/l9BoeeHdGB</a>",46,262,537,CryptoYoda1338,2017-11-14 04:10:00,new all time high market cap,1510603800,claire,FALSE,TRUE
1150,1,"all eyes on <a href=""/search?q=%24ZEC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ZEC</b></a>, trying the breakout here",18,58,223,CryptoYoda1338,2017-11-12 15:23:00,all eyes on trying the breakout here,1510471380,claire,FALSE,TRUE
1151,-1,"Some serious potential damage being done to <a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> parabola unless price rebound sharply on Sunday.<a href=""https://t.co/91LRnWUD4R"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/91LRnWUD4R</a>",34,140,283,CryptoYoda1338,2017-11-11 19:42:00,some serious potential damage being done to parabola unless price rebound sharply on sunday,1510400520,claire,TRUE,TRUE
1153,0,"largest ever volume spike in <a href=""/hashtag/ALTS?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ALTS</b></a> Marketcap<a href=""https://t.co/rAFka1FAE9"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/rAFka1FAE9</a>",19,99,237,CryptoYoda1338,2017-11-11 10:32:00,largest ever volume spike in marketcap,1510367520,claire,TRUE,TRUE
1154,1,"<a href=""/search?q=%24NXT&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>NXT</b></a> &amp; <a href=""/search?q=%24OMG&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>OMG</b></a> both triggered",13,29,125,CryptoYoda1338,2017-11-11 10:23:00,amp both triggered,1510366980,claire,TRUE,FALSE
1155,0,"ETC/BTC 1 Month High - Ethereum Classic (ETC) price reaches 1 Month High on Poloniex - <a href=""/search?q=%24ETC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ETC</b></a> <a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> <a href=""/hashtag/alts?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>alts</b></a> <a href=""/hashtag/investing?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>investing</b></a> <a href=""/hashtag/crypto?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>crypto</b></a>",1,15,32,CryptoYoda1338,2017-11-11 04:33:00,etcbtc month high ethereum classic etc price reaches month high on poloniex,1510345980,claire,TRUE,TRUE
1156,0,When I called BCC/BCH at 0.06 I was flamed alive. Now its up 100%+ and everybody talks about it as if it is normal. weird game this is.,38,33,312,CryptoYoda1338,2017-11-10 03:43:00,when i called bccbch at i was flamed alive now its up and everybody talks about it as if it is normal weird game this is,1510256580,claire,TRUE,FALSE
1158,0,"The biggest use case for altcoins = making more <a href=""/hashtag/bitcoin?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>bitcoin</b></a>
The biggest use case for bitcoin = making more <a href=""/search?q=%24USD&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>USD</b></a>/fiat
<a href=""/search?q=%24crypto&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>crypto</b></a>",32,136,473,CryptoYoda1338,2017-11-09 09:44:00,the biggest use case for altcoins making more the biggest use case for bitcoin making more fiat,1510191840,claire,TRUE,FALSE
1159,0,"Engaged in some writing again! Current State of the <a href=""/hashtag/Crypto?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Crypto</b></a> Market &amp; Top Picks for Next Week to have an eye on:

<a href=""https://t.co/6Jfu8Q9cFZ"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://cryptowisdom.io/cryptowisdom-market-report-1-2/"" class=""twitter-timeline-link"" target=""_blank"" title=""http://cryptowisdom.io/cryptowisdom-market-report-1-2/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cryptowisdom.io/cryptowisdom-m</span><span class=""invisible"">arket-report-1-2/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>

<a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> <a href=""/search?q=%24NXT&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>NXT</b></a> <a href=""/search?q=%24STR&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>STR</b></a> <a href=""/search?q=%24DGB&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>DGB</b></a> <a href=""/search?q=%24SC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>SC</b></a> <a href=""/search?q=%24DOGE&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>DOGE</b></a>",32,85,269,CryptoYoda1338,2017-11-09 10:01:00,engaged in some writing again current state of the market amp top picks for next week to have an eye on,1510192860,claire,TRUE,TRUE
1162,0,"Oh the drama. why not reset everything? Its not like you never did it before. manipulated chain is manipulated. <a href=""/search?q=%24ETH&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ETH</b></a>",16,29,133,CryptoYoda1338,2017-11-07 08:48:00,oh the drama why not reset everything its not like you never did it before manipulated chain is manipulated,1510015680,claire,FALSE,TRUE
1163,0,According to Google Trends global searches for “buy bitcoin” have  overtaken “buy gold” after prev. exceeding searches for how to buy silver,7,90,219,CryptoYoda1338,2017-11-07 05:23:00,according to google trends global searches for “buy bitcoin” have overtaken “buy gold” after prev exceeding searches for how to buy silver,1510003380,claire,TRUE,TRUE
1164,0,"While some people posted that search interest for <a href=""/hashtag/Bitcoin?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Bitcoin</b></a> blowing up, <a href=""/hashtag/Altcoin?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Altcoin</b></a> search interest silently breaking out..<a href=""https://t.co/D4vARowptI"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/D4vARowptI</a>",23,144,326,CryptoYoda1338,2017-11-05 00:28:00,while some people posted that search interest for blowing up search interest silently breaking out,1509812880,claire,TRUE,TRUE
1165,0,"I wouldn’t be surprised if we are at the peak of altcoin wreckage around about now.<a href=""https://t.co/zVeM7aLOIa"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/zVeM7aLOIa</a>",54,191,475,CryptoYoda1338,2017-11-04 17:36:00,i wouldn’t be surprised if we are at the peak of altcoin wreckage around about now,1509788160,claire,TRUE,FALSE
1167,1,"Folks been clamoring to buy up BTC to get into altcoins &amp; alts are at bottom of trend channel &amp; ready to explode &amp; moon any day now... :-)<a href=""https://t.co/Om2QvpM4h2"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Om2QvpM4h2</a>",49,239,535,CryptoYoda1338,2017-11-03 15:14:00,folks been clamoring to buy up btc to get into altcoins amp alts are at bottom of trend channel amp ready to explode amp moon any day now,1509693240,claire,TRUE,TRUE
1170,0,"break it or make it moment <a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a>",16,22,124,CryptoYoda1338,2017-10-31 16:57:00,break it or make it moment,1509440220,claire,FALSE,TRUE
1171,1,"<a href=""/search?q=%24BTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BTC</b></a> at key level. if upside breakout fails, i expect longer consolidation. if breakout is true, expecting 8k in a couple of days. observing<a href=""https://t.co/eZPvIvj0xg"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/eZPvIvj0xg</a>",21,105,284,CryptoYoda1338,2017-10-31 08:15:00,at key level if upside breakout fails i expect longer consolidation if breakout is true expecting k in a couple of days observing,1509408900,claire,FALSE,TRUE
1175,0,Traders underestimate importance of a positive mindset. Believing in your style and trading with confidence grows with proven experience.,8,59,251,CryptoYoda1338,2017-10-28 04:42:00,traders underestimate importance of a positive mindset believing in your style and trading with confidence grows with proven experience,1509136920,claire,FALSE,TRUE
1176,0,"umm okay.. thats some pretty volume at <a href=""/search?q=%24DOGE&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>DOGE</b></a>. big walls at 20 though, but if that breaks..<a href=""https://t.co/tDJC8TXxg6"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/tDJC8TXxg6</a>",19,21,90,CryptoYoda1338,2017-10-29 07:54:00,umm okay thats some pretty volume at big walls at though but if that breaks,1509234840,claire,FALSE,TRUE
1177,1,"despite various opinions about Bitcoin Cash out there, here seems to be developing a fine opportunity<a href=""https://t.co/2RKN5yozlF"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/2RKN5yozlF</a>",16,44,120,CryptoYoda1338,2017-10-28 15:35:00,despite various opinions about bitcoin cash out there here seems to be developing a fine opportunity,1509176100,claire,TRUE,TRUE
1179,0,"nobody confused yet about <a href=""/search?q=%24BCC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BCC</b></a> / <a href=""/search?q=%24BCH&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BCH</b></a> trading volumes?<a href=""https://t.co/7s1lXpVjn1"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/7s1lXpVjn1</a>",17,18,54,CryptoYoda1338,2017-10-28 12:34:00,nobody confused yet about trading volumes,1509165240,claire,FALSE,TRUE
1180,0,"<a href=""/search?q=%24VTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>VTC</b></a> broke last resistance, now its getting really interesting",8,12,71,CryptoYoda1338,2017-10-28 04:34:00,broke last resistance now its getting really interesting,1509136440,claire,FALSE,TRUE
1181,0,"Dissatisfaction with Status Quo -&gt; Call for Independence -&gt; Refused by State -&gt; All in Crypto<a href=""https://t.co/JNVX9hFxBv"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""https://twitter.com/CryptoNewswire/status/924216496833703941"" class=""twitter-timeline-link u-hidden"" target=""_blank"" title=""https://twitter.com/CryptoNewswire/status/924216496833703941""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CryptoNewswire</span><span class=""invisible"">/status/924216496833703941</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>",1,17,58,CryptoYoda1338,2017-10-28 03:18:00,dissatisfaction with status quo gt call for independence gt refused by state gt all in crypto,1509131880,claire,FALSE,TRUE
1182,1,"despite what you may think of it, <a href=""/search?q=%24BCC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BCC</b></a> seems to be ready after building bottom in both /USD and /BTC. This is technical only, DYOR<a href=""https://t.co/geA6heQ0S2"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/geA6heQ0S2</a>",13,31,77,CryptoYoda1338,2017-10-28 02:52:00,despite what you may think of it seems to be ready after building bottom in both usd and btc this is technical only dyor,1509130320,claire,TRUE,TRUE
1183,1,"<a href=""/search?q=%24VTC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>VTC</b></a> looking solid... when 100k breaks, nothing but open air.",7,31,85,CryptoYoda1338,2017-10-28 01:13:00,looking solid when k breaks nothing but open air,1509124380,claire,FALSE,TRUE
1185,1,"watchlist:

<a href=""/search?q=%24ZEC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>ZEC</b></a> Higher Low Higher High Setup on Daily, triggered
<a href=""/search?q=%24DGB&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>DGB</b></a> Higher Low, solid buy volume, not triggered (178)
<a href=""/search?q=%24BCC&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>BCC</b></a> at bottom",11,37,102,CryptoYoda1338,2017-10-27 08:33:00,watchlist higher low higher high setup on daily triggered higher low solid buy volume not triggered at bottom,1509064380,claire,FALSE,TRUE
1186,1,"added <a href=""/search?q=%24DGB&amp;src=ctag"" data-query-source=""cashtag_click"" class=""twitter-cashtag pretty-link js-nav"" dir=""ltr""><s>$</s><b>DGB</b></a> at these levels, such a bargain below a cent<a href=""https://t.co/ZG6ghjXXRf"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ZG6ghjXXRf</a>",31,66,149,CryptoYoda1338,2017-10-27 08:10:00,added at these levels such a bargain below a cent,1509063000,claire,FALSE,TRUE
